year,9/1,9/2,9/3,9/4,9/5,9/6,9/7,9/8,9/9,9/10,9/11,9/12,9/13,9/14,9/15,9/16,9/17,9/18,9/19,9/20,9/21,9/22,9/23,9/24,9/25,9/26,9/27,9/28,9/29,9/30,10/1,10/2,10/3,10/4,10/5,10/6,10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,10/15,10/16,10/17,10/18,10/19,10/20,10/21,10/22,10/23,10/24,10/25,10/26,10/27,10/28,10/29,10/30,10/31,11/1,11/2,11/3,11/4,11/5,11/6,11/7,11/8,11/9,11/10,11/11,11/12,11/13,11/14,11/15,11/16,11/17,11/18,11/19,11/20,11/21,11/22,11/23,11/24,11/25,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3,12/4,12/5,12/6,12/7,12/8,12/9,12/10,12/11,12/12,12/13,12/14,12/15,12/16,12/17,12/18,12/19,12/20,12/21,12/22,12/23,12/24,12/25,12/26,12/27,12/28,12/29,12/30,12/31,1/1,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,1/12,1/13,1/14,1/15,1/16,1/17,1/18,1/19,1/20,1/21,1/22,1/23,1/24,1/25,1/26,1/27,1/28,1/29,1/30,1/31,2/1,2/2,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,2/12,2/13,2/14,2/15,2/16,2/17,2/18,2/19,2/20,2/21,2/22,2/23,2/24,2/25,2/26,2/27,2/28,2/29,3/1,3/2,3/3,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,3/12,3/13,3/14,3/15,3/16,3/17,3/18,3/19,3/20,3/21,3/22,3/23,3/24,3/25,3/26,3/27,3/28,3/29,3/30,3/31,4/1,4/2,4/3,4/4,4/5,4/6,4/7,4/8,4/9,4/10,4/11,4/12,4/13,4/14,4/15,4/16,4/17,4/18,4/19,4/20,4/21,4/22,4/23,4/24,4/25,4/26,4/27,4/28,4/29,4/30,5/1,5/2,5/3,5/4,5/5,5/6,5/7,5/8,5/9,5/10,5/11,5/12,5/13,5/14,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,5/27,5/28,5/29,5/30,5/31,6/1,6/2,6/3,6/4,6/5,6/6,6/7,6/8,6/9,6/10,6/11,6/12,6/13,6/14,6/15,6/16,6/17,6/18,6/19,6/20,6/21,6/22,6/23,6/24,6/25,6/26,6/27,6/28,6/29,6/30
1954-1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,7,7,8,0,0,15,15,15,15,15,15,15,30,25,21,21,21,21,21,21,21,22,23,24,24,24,24,24,24,30,36,36,36,30,31,32,34,36,36,36,36,36,40,40,40,40,40,40,40,40,40,36,36,36,36,36,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,48,48,48,48,48,50,50,50,50,50,50,50,48,46,44,42,40,40,40,40,40,42,44,46,48,48,49,50,52,52,52,52,48,49,50,51,52,53,54,55,56,57,58,60,62,64,66,66,66,67,68,67,66,66,66,66,66,66,66,66,66,66,63,60,57,54,51,48,45,42,39,36,33,30,27,24,22,20,18,17,16,15,14,13,12,11,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955-1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,3,2,1,1,1,1,1,1,2,4,4,4,4,4,4,5,6,7,12,13,13,13,14,14,12,16,16,16,17,17,18,18,18,22,24,24,24,25,27,27,27,27,27,27,27,24,24,24,26,26,25,25,26,27,27,24,22,20,18,16,15,10,10,12,13,16,16,16,16,16,16,16,20,22,26,26,26,26,26,26,28,25,27,28,28,29,29,36,37,38,38,38,44,46,46,46,46,42,45,46,46,47,47,47,44,36,36,36,36,36,36,37,38,42,43,40,46,49,50,50,50,50,51,53,57,57,58,58,58,58,57,56,56,56,56,57,57,57,57,59,50,50,48,48,42,38,35,34,34,34,34,32,30,30,30,30,27,30,30,31,31,31,33,34,34,34,34,32,24,20,18,18,18,17,22,18,18,18,18,15,12,12,6,5,4,0,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956-1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,4,5,5,0,0,0,6,6,4,3,2,0,14,14,20,20,20,21,21,21,20,22,22,22,17,10,10,14,14,14,14,12,12,13,12,12,13,13,13,13,13,16,14,18,19,20,21,22,22,24,24,24,24,26,24,24,24,24,24,26,26,26,28,28,28,34,34,34,34,34,32,18,22,22,22,22,24,25,30,30,30,30,30,28,29,29,29,24,22,23,24,24,24,24,24,24,24,28,31,31,31,32,32,32,32,29,24,23,23,23,23,26,26,27,27,27,27,27,39,43,40,34,34,30,28,26,23,28,28,28,28,24,23,23,23,22,21,21,20,20,20,20,18,18,18,19,18,19,19,20,20,20,20,20,26,24,24,20,18,15,12,8,5,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957-1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,6,6,6,6,3,1,7,3,4,0,5,0,6,8,12,12,10,6,0,2,0,0,0,0,12,12,12,12,12,14,14,14,14,14,12,20,26,26,23,33,30,30,28,36,42,45,46,47,30,31,28,29,27,27,27,28,35,44,50,53,56,66,60,60,58,58,58,69,58,48,48,48,46,46,46,53,60,60,60,60,56,60,64,64,66,60,60,61,60,60,63,60,66,60,60,64,66,62,62,62,63,63,63,65,67,64,64,60,60,60,62,60,60,57,54,50,50,48,46,47,47,48,45,42,44,46,46,47,49,42,42,42,40,37,33,30,28,20,17,11,5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958-1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,5,4,4,3,3,2,0,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,1,1,1,2,2,1,1,2,6,6,8,9,9,11,13,14,14,14,28,28,28,28,28,28,31,33,36,37,39,39,39,39,42,42,42,42,42,42,42,42,42,40,42,42,46,47,47,47,47,47,48,48,48,49,49,50,54,63,63,63,63,50,50,50,50,50,50,50,50,49,48,48,48,48,47,47,47,47,48,48,50,50,52,52,52,52,56,56,56,58,58,58,60,60,61,63,63,63,63,63,64,65,65,60,64,60,64,65,65,65,63,63,69,82,78,78,78,78,78,76,66,60,64,64,64,64,60,61,61,61,60,60,58,56,54,54,52,55,55,54,50,49,49,49,48,48,46,44,40,36,33,31,30,28,24,20,16,15,14,14,13,10,10,8,0,6,4,4,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959-1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,3,0,0,0,0,0,0,1,0,0,0,2,5,5,4,0,0,0,0,0,0,0,1,1,0,0,0,2,3,6,7,10,11,8,6,8,8,6,5,8,9,10,11,11,9,9,9,6,14,14,18,18,23,23,24,24,25,26,28,30,32,32,32,32,32,32,33,33,37,39,40,40,40,40,40,42,44,45,46,50,50,50,50,50,50,50,52,52,53,53,56,59,60,60,60,58,56,57,58,58,58,57,55,55,56,55,53,49,47,48,48,50,50,40,40,40,41,42,43,43,41,43,48,50,50,50,51,51,56,64,64,64,64,64,64,69,70,71,70,71,70,70,70,69,69,69,69,68,69,70,71,71,71,72,77,80,82,80,78,79,74,62,58,50,48,44,40,42,45,42,44,46,46,46,46,47,40,35,33,20,19,19,18,16,14,12,11,10,10,8,7,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16,14,11,8,6,5,0,3,0,3,4,5,7,8,5,5,5,5,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,8,8,6,4,2,2,5,6,8,8,9,10,10,10,13,14,15,15,16,25,25,25,25,25,25,25,25,25,25,25,31,35,33,33,32,32,30,36,38,36,34,34,32,29,28,25,23,23,23,23,23,24,23,23,23,23,23,23,24,24,24,24,24,24,25,25,24,23,22,21,21,21,21,21,22,22,22,23,22,20,20,20,19,15,15,12,15,15,15,15,15,17,15,14,13,12,12,12,28,32,32,32,31,35,39,44,46,46,45,45,45,40,38,38,40,40,37,35,34,37,37,38,29,40,44,42,44,45,48,48,54,60,58,60,62,60,60,56,56,54,50,43,40,37,34,31,28,28,25,27,26,24,26,27,24,22,18,16,12,9,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961-1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,4,6,6,4,2,0,0,0,0,1,1,1,2,2,1,3,4,3,4,6,13,18,18,18,18,15,14,14,18,25,25,25,25,26,26,25,25,25,26,27,28,33,35,35,36,36,37,37,37,42,44,45,47,47,47,47,46,47,47,46,46,47,47,47,47,47,47,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,45,48,40,44,44,44,44,45,45,45,45,46,47,47,51,51,53,57,57,60,60,63,60,61,57,55,55,55,55,55,57,58,58,56,55,53,52,50,51,63,64,64,63,63,62,62,60,61,60,60,60,59,59,58,56,52,46,50,47,51,50,48,47,42,39,35,33,34,32,30,35,42,54,58,59,58,56,50,44,38,39,39,39,32,26,20,14,8,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962-1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,8,5,5,5,4,5,0,6,7,7,8,8,7,6,5,9,9,9,7,7,7,7,7,7,6,6,10,10,12,12,11,10,8,7,6,2,5,5,5,4,4,6,6,8,18,19,21,21,23,23,23,23,23,22,22,25,29,29,30,30,30,30,32,32,35,35,30,30,30,30,31,31,31,30,30,30,31,33,40,41,41,41,41,40,40,40,40,41,44,47,47,47,55,60,60,62,60,60,62,63,63,66,66,64,63,63,61,60,61,65,64,67,67,66,68,68,69,68,67,67,67,68,67,67,67,66,66,70,72,72,76,78,80,78,77,76,75,75,76,80,79,78,77,80,78,79,79,78,77,75,68,60,52,51,49,42,37,35,30,28,27,28,28,28,27,26,29,34,34,31,31,30,28,26,25,24,23,23,22,23,27,28,27,27,27,24,21,21,19,16,16,16,13,12,8,8,9,10,9,8,7,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963-1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,10,9,7,4,0,0,0,0,3,3,6,11,12,10,5,4,3,1,0,0,0,0,0,0,0,0,1,2,2,4,8,8,8,7,7,7,10,11,15,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37,37,37,39,39,41,42,40,40,40,39,40,41,41,43,43,42,42,46,46,47,47,47,47,47,47,47,47,47,48,45,42,38,36,30,28,28,38,42,42,43,41,39,39,39,39,43,40,38,38,38,35,36,36,37,37,39,39,39,39,39,46,47,47,47,46,42,42,42,40,36,33,30,22,18,18,18,18,18,18,15,14,14,13,13,12,10,8,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964-1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,1,1,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3,0,0,2,2,2,2,1,0,0,0,0,1,1,2,5,6,6,6,6,8,8,8,8,8,8,9,9,9,10,10,11,11,12,13,10,5,3,3,10,10,8,10,11,11,11,11,11,11,11,11,9,9,9,9,9,12,12,12,13,13,13,27,30,30,30,30,30,31,32,33,35,35,35,32,33,33,33,33,42,41,30,29,33,32,32,33,33,33,33,33,38,38,38,38,38,38,38,38,39,39,39,39,39,39,37,36,36,36,36,36,36,37,38,38,38,38,38,38,38,38,39,40,41,41,42,42,42,44,46,46,49,49,49,49,49,49,49,49,48,49,51,51,50,49,48,56,55,55,56,57,57,57,57,56,54,55,55,53,53,53,51,50,49,48,47,46,42,41,38,36,34,32,28,25,21,17,15,12,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965-1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,3,5,7,6,2,2,1,1,1,1,1,0,0,0,0,0,0,3,26,24,25,28,24,24,24,22,25,28,29,34,35,35,32,32,35,34,35,36,36,35,35,35,33,35,35,36,37,39,41,45,44,45,47,45,44,43,45,45,45,45,45,42,36,36,39,39,39,41,42,43,43,42,43,43,43,42,42,42,46,47,48,48,49,49,52,57,57,57,57,58,58,60,62,63,63,63,64,64,65,65,65,65,59,56,56,58,62,62,63,63,63,63,63,63,64,64,64,72,80,80,78,77,76,77,75,74,73,76,79,78,76,74,74,74,77,76,76,76,76,74,73,73,73,72,71,70,71,71,74,74,74,76,77,78,78,78,78,78,81,82,85,86,86,87,87,87,86,85,84,83,82,81,81,79,76,74,73,72,71,71,71,70,69,65,64,63,68,67,66,69,68,71,72,71,71,73,72,70,69,67,65,60,57,54,51,50,47,44,42,39,36,33,29,26,22,20,16,13,12,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966-1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1,10,11,9,8,7,6,5,0,0,0,0,0,0,0,1,0,1,1,2,1,1,2,2,17,22,23,23,27,30,30,29,32,28,26,28,31,29,27,27,25,28,30,30,29,30,32,31,32,32,36,34,33,29,25,22,22,24,32,37,39,36,36,38,38,38,40,40,39,39,40,39,41,41,40,40,40,40,39,39,39,42,42,42,50,53,53,54,54,61,67,73,69,67,68,67,68,71,72,70,66,63,61,61,61,62,63,63,63,62,63,63,63,63,63,62,61,60,58,57,56,55,48,42,41,41,40,42,45,42,41,41,41,41,39,38,35,35,35,36,37,37,37,37,43,51,51,50,46,44,44,43,42,42,42,42,44,43,43,49,49,53,53,54,53,52,50,50,49,49,48,45,44,44,43,42,42,48,46,43,40,39,35,34,31,27,25,20,15,10,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967-1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,2,2,1,5,6,9,10,10,11,12,28,30,26,24,29,27,26,26,30,32,31,30,28,33,32,29,27,26,29,28,28,28,26,25,25,27,36,37,34,33,30,28,26,27,28,28,31,31,34,44,42,41,43,42,42,45,48,47,49,48,48,48,48,48,48,48,49,50,48,48,50,51,53,53,59,63,62,60,59,59,60,62,61,61,60,59,64,65,66,66,65,64,66,67,68,67,69,78,78,78,79,80,79,78,79,82,81,81,79,79,79,76,84,85,87,86,88,88,86,84,84,83,83,84,88,92,90,88,87,87,81,78,73,70,69,78,79,75,73,73,68,67,65,65,64,64,62,60,60,59,58,57,56,56,54,54,54,52,52,52,50,48,47,46,45,44,40,36,37,42,42,41,40,39,38,36,36,35,34,34,33,32,31,30,24,23,20,17,15,14,12,10,10,10,8,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
