date,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
11/2,0,0,0,0,3,5,0,0,0,5,0,7,0,0,2,2,0,0,0,0,0,0,10,0,0,2,14,0,0,0,0,0,2,2,12,0,0,0,1,12,5,4,6,3,9,4,5,0,12,0,1,6,18,0,11,0,7,1,0,0,3,0
11/3,0,0,0,0,3,5,3,0,6,11,0,6,0,0,0,0,0,0,0,4,0,0,9,0,0,1,12,0,0,1,0,0,1,0,22,0,0,0,2,10,5,0,10,0,10,1,4,0,11,0,1,4,18,0,10,0,7,0,2,0,2,0
11/4,0,0,0,0,2,4,4,0,7,10,0,2,0,0,0,0,0,1,5,3,0,0,6,0,0,1,11,0,0,1,0,0,2,0,22,1,0,0,2,12,1,0,8,0,10,4,2,0,11,0,1,3,18,0,5,0,8,2,7,0,0,0
11/5,0,0,0,0,0,0,5,0,7,9,0,2,0,3,0,1,0,1,6,4,0,0,12,0,0,0,8,0,0,2,0,0,2,0,13,4,0,0,2,10,0,0,8,9,10,2,9,0,10,0,3,0,18,0,4,0,7,2,10,0,0,0
11/6,0,0,0,0,0,0,7,0,8,7,0,1,2,3,0,0,15,1,6,4,0,0,18,0,0,0,8,0,0,2,0,0,5,11,5,2,0,0,6,10,0,0,5,5,10,0,9,0,13,0,5,0,17,6,1,1,8,0,10,0,0,0
11/7,0,0,0,0,2,0,8,1,8,4,0,1,2,1,2,0,13,4,5,5,0,0,18,0,0,0,8,5,1,2,1,0,0,9,4,0,3,0,9,10,3,0,4,4,10,3,6,0,16,0,5,0,17,7,0,1,8,0,10,0,5,0
11/8,0,0,0,0,2,0,5,1,7,0,0,1,0,1,14,0,11,9,4,6,0,0,23,0,0,0,8,4,0,1,1,0,0,9,8,0,3,0,9,8,1,5,2,4,10,2,5,6,15,2,5,0,16,7,0,0,7,0,10,3,5,0
11/9,0,5,1,0,2,0,5,4,6,0,0,1,0,2,12,0,9,7,5,8,0,0,21,0,0,0,12,2,0,1,0,1,0,7,9,0,4,0,9,7,0,0,0,3,10,1,0,6,13,1,9,0,12,7,0,0,5,0,9,3,5,0
11/10,0,5,6,0,2,0,5,6,5,0,2,1,0,2,12,0,0,5,4,13,0,0,22,0,0,0,14,2,0,0,0,1,0,5,9,0,12,1,9,7,0,8,0,3,10,0,0,7,11,1,8,0,10,7,7,0,0,0,9,4,5,0
11/11,0,5,7,0,2,0,5,6,9,0,0,0,0,2,12,0,0,8,4,14,0,0,22,0,0,0,20,3,0,0,0,0,4,5,9,0,27,1,5,6,1,4,0,2,8,0,0,12,5,1,6,4,10,7,9,0,5,2,5,14,4,0
11/12,0,3,4,0,2,1,5,4,9,3,0,0,0,1,15,0,0,8,4,11,0,0,23,0,0,0,22,8,0,4,0,0,5,5,9,4,36,1,5,6,1,4,0,2,8,0,0,16,3,0,6,0,8,6,8,0,4,2,2,17,2,0
11/13,0,2,5,0,2,1,4,2,9,3,0,0,0,5,20,0,0,8,4,10,1,0,24,0,0,0,22,8,0,4,2,0,8,4,12,4,40,1,4,6,1,5,8,3,8,2,0,16,3,1,6,3,4,6,7,0,4,2,4,21,0,0
11/14,0,1,5,0,1,0,3,0,7,6,0,0,0,6,20,3,0,5,6,5,1,0,23,6,0,0,22,7,0,4,5,0,8,4,12,0,45,2,5,6,0,6,5,6,8,2,0,13,3,26,6,0,1,5,6,0,4,0,4,19,4,0
11/15,0,1,0,0,1,0,2,0,7,11,0,0,0,9,22,6,3,5,12,4,8,0,23,5,0,3,23,6,3,3,5,1,5,4,12,0,39,0,5,4,0,7,5,8,9,10,5,9,3,25,5,0,1,4,5,0,3,0,4,16,4,0
11/16,0,1,0,0,0,0,1,0,7,12,0,0,5,10,22,6,3,5,12,5,9,0,21,0,0,8,24,3,2,10,5,1,5,3,12,0,26,2,0,4,0,6,5,11,9,28,5,3,3,24,5,0,1,13,0,0,2,0,4,14,4,0
11/17,0,1,0,0,0,2,0,0,7,10,1,3,4,10,21,6,3,4,12,8,12,0,20,0,0,9,23,0,2,15,5,2,5,3,8,0,20,2,6,2,0,8,4,13,12,30,6,3,0,21,5,2,0,15,0,0,0,0,0,13,6,0
11/18,0,1,6,0,0,3,0,1,7,5,2,26,0,11,22,3,2,3,10,6,11,0,20,8,0,9,30,1,2,18,6,0,5,1,10,0,20,2,6,1,0,7,3,12,12,30,7,3,15,16,5,3,0,15,4,0,0,0,3,6,0,0
11/19,0,1,6,0,0,6,0,1,7,4,3,24,0,12,21,1,6,1,10,6,10,0,22,9,0,8,33,4,2,18,9,0,5,0,10,1,20,1,6,1,0,10,7,12,11,30,6,2,15,13,3,0,0,14,4,0,2,0,3,7,9,0
11/20,0,2,4,0,0,7,0,1,6,3,0,25,0,28,28,8,3,2,15,6,9,0,26,0,2,4,28,5,2,14,12,0,5,3,10,4,20,0,6,1,0,10,10,13,10,26,6,2,15,12,2,4,1,15,4,0,3,0,3,7,9,0
11/21,0,4,3,0,1,10,0,2,6,1,0,28,0,30,28,15,4,3,15,5,16,0,26,8,1,4,28,12,0,11,14,0,13,5,17,17,20,0,5,3,0,9,11,13,12,24,9,1,13,11,2,2,0,16,0,0,3,0,3,0,13,0
11/22,0,4,2,0,1,11,0,2,10,0,2,24,0,26,33,16,4,3,16,5,19,0,35,6,1,0,28,24,0,10,13,1,13,5,18,20,18,0,3,3,0,10,11,15,12,15,16,0,12,11,2,5,0,16,18,0,3,0,3,6,11,0
11/23,2,4,2,0,1,8,0,1,10,0,2,24,0,24,30,12,14,3,16,4,19,0,36,6,1,0,26,30,0,10,12,3,13,5,18,20,17,0,1,3,3,11,11,14,12,11,19,1,24,11,0,15,0,24,12,0,2,8,2,8,10,2
11/24,2,4,14,0,2,6,0,3,12,0,2,24,0,29,28,12,15,2,17,3,14,0,37,6,3,0,24,29,2,10,12,2,13,4,18,18,19,0,1,1,1,11,13,18,14,7,16,1,24,9,0,15,0,27,10,0,1,8,5,14,0,3
11/25,6,4,14,0,2,8,0,4,12,0,2,22,0,27,28,12,18,15,17,3,12,0,36,6,8,0,24,28,4,17,12,2,12,5,18,18,18,4,2,1,2,11,12,21,13,4,15,1,23,11,0,17,0,24,12,0,0,0,5,12,3,4
11/26,7,4,20,0,1,8,0,3,11,0,1,25,0,26,28,14,18,20,16,3,21,0,33,18,8,0,28,28,6,19,12,2,12,7,17,18,18,9,1,1,10,11,21,20,18,4,11,0,23,11,0,18,0,22,13,0,1,6,6,11,5,4
11/27,7,5,20,0,1,6,0,4,10,0,0,28,0,26,28,12,12,15,16,2,18,0,30,25,8,0,26,28,10,19,10,2,11,5,13,18,18,7,1,1,10,10,21,27,21,2,12,0,24,10,0,18,0,20,13,3,2,6,6,11,9,0
11/28,8,6,20,0,2,5,0,6,8,0,0,29,0,30,28,12,8,13,17,0,16,0,23,24,13,0,26,29,6,18,9,6,11,5,12,18,12,6,1,0,8,10,20,28,21,2,12,0,26,10,0,12,0,22,14,20,3,5,6,21,12,0
11/29,0,7,21,0,6,8,0,13,7,0,0,34,0,32,26,12,8,12,23,3,16,0,28,23,12,1,29,34,4,19,6,6,11,5,13,20,9,5,1,0,9,10,17,27,21,8,12,2,33,10,3,9,0,22,16,12,3,1,9,21,14,1
11/30,0,12,21,0,6,9,3,18,6,1,0,35,4,31,26,12,8,22,22,6,16,0,27,22,12,5,32,35,4,20,0,6,11,5,13,23,9,4,1,3,10,9,15,25,20,6,14,1,34,12,3,3,0,22,16,12,3,0,13,21,14,1
12/1,15,13,21,5,8,10,12,18,2,2,1,35,1,30,26,15,8,23,36,10,16,8,27,21,11,5,29,34,0,28,9,6,12,5,15,27,9,1,1,2,9,13,15,27,18,7,20,0,37,15,7,2,0,24,18,13,2,0,13,21,9,1
12/2,15,13,20,8,9,11,8,18,5,2,1,32,10,28,26,15,4,21,32,8,16,10,30,19,12,5,29,33,0,29,8,6,12,6,17,28,9,1,1,2,9,26,15,31,18,7,25,0,39,18,9,12,0,23,17,13,4,3,10,19,9,0
12/3,15,13,22,6,9,11,8,18,5,4,2,32,11,33,27,18,4,24,31,7,17,20,33,26,12,5,33,31,0,29,13,9,11,7,17,30,10,6,2,3,8,27,14,30,17,5,24,0,40,21,10,14,1,36,16,10,4,2,0,19,10,3
12/4,15,14,22,6,11,9,6,15,5,8,5,35,9,32,29,20,13,26,31,6,18,24,33,26,11,5,36,33,0,33,15,7,13,8,24,30,17,7,4,4,8,27,13,30,12,4,23,0,38,25,11,18,6,40,16,10,5,2,5,17,12,4
12/5,15,14,22,6,13,9,4,14,4,8,6,34,8,29,37,19,15,25,32,4,18,21,32,30,11,8,36,32,0,32,15,7,13,11,26,30,27,8,8,7,6,27,13,33,11,2,21,0,39,22,11,18,8,39,17,10,0,1,5,16,12,5
12/6,15,12,17,6,14,9,2,14,4,8,6,35,7,27,45,17,23,27,22,0,18,15,33,37,11,7,36,54,0,32,24,7,14,11,24,30,26,10,9,7,5,29,14,41,11,1,22,0,38,27,12,18,7,40,17,10,13,0,5,14,13,4
12/7,15,16,10,3,14,6,2,18,6,7,6,36,6,26,46,17,25,27,22,1,16,18,34,45,11,8,36,57,0,42,27,9,16,11,23,33,26,12,13,10,5,30,14,45,10,1,25,0,37,42,12,23,10,40,19,12,32,0,3,14,13,4
12/8,30,16,10,1,14,14,5,25,6,7,6,36,5,29,48,19,22,27,24,1,16,15,35,46,11,10,35,55,0,42,28,11,22,11,22,33,23,12,15,10,8,32,23,46,11,1,23,0,42,36,13,21,13,41,25,15,34,4,3,13,14,4
12/9,25,16,14,7,28,14,6,25,8,7,8,35,0,28,48,18,26,25,27,1,12,15,34,45,12,10,31,56,6,42,28,11,24,10,24,32,23,9,15,9,8,32,24,45,10,1,22,2,41,33,13,23,13,37,25,18,31,3,3,16,15,4
12/10,21,17,14,3,28,18,8,25,18,10,8,35,0,28,48,18,30,28,27,1,14,15,34,45,13,12,33,55,6,42,28,11,24,9,25,32,23,9,13,9,8,35,25,45,10,1,21,0,37,30,15,23,10,37,19,22,29,3,3,16,30,2
12/11,21,17,14,4,28,18,8,25,19,11,8,35,0,28,45,14,26,25,27,1,14,15,34,44,13,12,36,55,9,41,26,11,24,7,24,32,23,8,12,10,11,35,25,44,14,18,24,1,36,26,18,23,10,37,19,23,29,3,5,17,30,2
12/12,21,18,14,0,28,23,9,26,21,15,8,33,0,26,42,14,25,24,27,1,15,15,35,43,16,9,38,56,9,40,25,16,25,7,24,32,22,8,12,16,11,34,24,44,14,19,28,1,37,26,21,24,9,38,25,23,24,3,6,17,31,3
12/13,21,18,12,5,28,23,10,26,21,18,8,35,0,25,42,14,25,24,27,1,15,15,37,43,16,9,42,54,9,36,19,16,26,9,23,32,21,7,12,16,11,35,23,44,14,18,26,1,35,27,24,23,9,38,25,23,22,3,6,20,30,2
12/14,21,18,12,0,28,24,10,25,23,18,8,35,0,25,42,16,26,24,30,8,15,15,35,46,24,10,46,52,9,32,18,22,24,11,25,31,23,6,11,12,12,36,23,46,14,14,30,0,35,27,30,23,6,42,25,23,21,4,6,20,29,1
12/15,21,22,13,6,31,24,10,25,23,18,9,36,0,27,48,17,26,25,30,7,15,12,36,45,26,10,46,52,6,29,20,21,25,15,30,31,24,12,11,9,12,39,23,49,13,14,31,5,38,46,28,23,6,42,21,24,21,2,6,22,29,1
12/16,21,24,12,8,33,25,13,25,23,18,9,37,1,36,48,18,25,25,37,6,16,12,36,45,24,10,47,59,4,31,20,24,26,21,31,37,25,12,10,9,12,39,23,48,13,17,30,5,38,44,27,28,9,51,20,25,24,2,0,24,29,1
12/17,22,24,12,12,36,26,14,26,23,18,9,39,0,37,45,18,34,24,39,16,24,13,36,42,36,14,46,59,5,33,19,25,26,23,31,37,25,11,12,9,12,41,22,47,17,16,30,8,38,41,29,29,7,52,29,30,26,5,9,24,29,0
12/18,23,24,13,12,37,28,15,27,23,18,10,41,1,34,45,18,36,28,39,16,28,22,36,41,42,12,46,60,5,36,17,26,28,23,30,37,24,12,14,9,13,41,21,45,19,16,31,7,38,57,29,29,6,54,29,30,27,5,12,23,33,0
12/19,24,25,13,10,39,30,15,28,22,18,10,45,1,33,45,22,33,26,39,16,28,22,36,41,42,12,48,59,3,39,18,24,28,23,29,37,27,12,14,9,17,40,18,45,21,16,32,0,36,56,29,31,10,54,33,30,27,0,18,23,33,0
12/20,24,27,13,6,39,32,16,33,22,18,11,44,2,30,50,22,36,27,39,16,30,22,35,41,36,12,48,57,4,39,20,25,30,26,28,37,27,12,16,9,17,42,27,43,21,15,39,11,33,56,31,36,10,55,37,30,24,4,20,23,33,0
12/21,24,27,13,0,39,32,25,35,25,18,11,45,1,28,49,21,40,28,38,12,30,22,37,46,38,12,47,55,8,39,18,24,31,26,25,38,25,16,17,13,14,51,25,44,20,14,39,13,34,55,31,40,10,55,36,26,24,4,22,21,33,0
12/22,24,27,13,2,39,32,25,35,29,18,12,47,1,26,49,36,40,28,43,14,30,22,38,46,40,12,48,55,10,43,25,24,31,25,25,39,21,19,17,21,14,53,24,42,20,14,39,13,34,52,30,40,10,55,41,26,25,3,28,17,33,0
12/23,24,27,16,0,42,32,25,36,29,18,13,45,2,27,53,34,44,27,43,18,30,25,40,46,37,12,48,57,10,44,25,28,31,26,25,39,18,19,18,23,14,49,24,46,20,18,41,16,34,50,29,37,8,49,41,30,29,7,42,16,34,0
12/24,24,27,14,0,42,32,25,36,30,18,10,44,2,28,58,30,54,30,43,19,27,25,42,45,37,10,51,57,9,47,25,28,31,26,26,39,18,19,21,22,14,49,23,48,19,18,42,17,42,45,25,40,10,51,43,30,29,7,42,16,32,0
