Date,MaxT,MinT
2018-09-01,65.00,54.00
2018-09-02,70.00,56.00
2018-09-03,73.00,63.00
2018-09-04,73.00,59.00
2018-09-05,77.00,60.00
2018-09-06,78.00,58.00
2018-09-07,63.00,46.00
2018-09-08,,
2018-09-09,55.00,34.00
2018-09-10,50.00,39.00
2018-09-11,57.00,43.00
2018-09-12,62.00,54.00
2018-09-13,71.00,55.00
2018-09-14,71.00,54.00
2018-09-15,71.00,57.00
2018-09-16,74.00,62.00
2018-09-17,75.00,61.00
2018-09-18,69.00,59.00
2018-09-19,63.00,46.00
2018-09-20,54.00,43.00
2018-09-21,57.00,48.00
2018-09-22,59.00,35.00
2018-09-23,51.00,37.00
2018-09-24,50.00,38.00
2018-09-26,,
2018-09-27,,
2018-09-28,,
2018-09-29,,
2018-09-30,,
2018-10-01,,
2018-10-02,,
2018-10-03,0.00,0.00
2018-10-04,,
2018-10-05,58.00,30.00
2018-10-06,55.00,35.00
2018-10-07,56.00,46.00
2018-10-08,53.00,41.00
2018-10-09,62.00,52.00
2018-10-10,64.00,28.00
2018-10-11,64.00,59.00
2018-10-12,60.00,33.00
2018-10-13,34.00,28.00
2018-10-14,38.00,26.00
2018-10-15,46.00,35.00
2018-10-16,48.00,25.00
2018-10-17,32.00,28.00
2018-10-18,29.00,15.00
2018-10-19,45.00,18.00
2018-10-20,45.00,36.00
2018-10-21,43.00,18.00
2018-10-22,24.00,17.00
2018-10-23,32.00,23.00
2018-10-25,27.00,18.00
2018-10-26,29.00,15.00
2018-10-28,33.00,27.00
2018-10-29,34.00,31.00
2018-10-30,34.00,24.00
2018-10-31,38.00,24.00
2018-11-01,43.00,36.00
2018-11-02,51.00,34.00
2018-11-03,49.00,27.00
2018-11-04,28.00,22.00
2018-11-05,31.00,22.00
2018-11-06,47.00,31.00
2018-11-07,45.00,35.00
2018-11-08,36.00,27.00
2018-11-09,30.00,24.00
2018-11-10,31.00,19.00
2018-11-11,20.00,12.00
2018-11-12,28.00,14.00
2018-11-14,27.00,2.00
2018-11-16,26.00,11.00
2018-11-19,29.00,14.00
2018-11-20,26.00,19.00
2018-11-21,24.00,10.00
2018-11-22,10.00,-11.00
2018-11-23,21.00,-4.00
2018-11-24,34.00,11.00
2018-11-25,36.00,31.00
2018-11-26,34.00,27.00
2018-11-27,29.00,24.00
2018-11-28,27.00,22.00
2018-11-29,24.00,22.00
2018-11-30,30.00,20.00
2018-12-01,34.00,19.00
2018-12-02,33.00,22.00
2018-12-03,39.00,24.00
2018-12-09,,
2018-12-10,22.00,9.00
2018-12-11,29.00,7.00
2018-12-12,18.00,5.00
2018-12-13,24.00,3.00
2018-12-14,31.00,20.00
2018-12-15,33.00,26.00
2018-12-16,26.00,22.00
2018-12-21,47.00,33.00
2018-12-22,49.00,16.00
2018-12-23,20.00,5.00
2018-12-24,22.00,11.00
2018-12-26,16.00,2.00
2018-12-27,21.00,2.00
2018-12-28,41.00,11.00
2018-12-29,42.00,10.00
2018-12-30,16.00,3.00
2018-12-31,26.00,13.00
2019-01-01,38.00,18.00
2019-01-03,21.00,10.00
2019-01-04,28.00,18.00
2019-01-05,35.00,25.00
2019-01-06,31.00,9.00
2019-01-07,12.00,-6.00
2019-01-08,30.00,6.00
2019-01-09,34.00,19.00
2019-01-12,5.00,-11.00
2019-01-13,0.00,-5.00
2019-01-14,0.00,-8.00
2019-01-15,18.00,7.00
2019-01-18,19.00,1.00
2019-01-20,16.00,3.00
2019-01-22,8.00,-17.00
2019-01-23,23.00,1.00
2019-01-24,44.00,23.00
2019-01-25,33.00,12.00
2019-01-26,15.00,1.00
2019-01-27,22.00,1.00
2019-01-28,21.00,-6.00
2019-01-30,18.00,5.00
2019-01-31,7.00,-16.00
2019-02-01,6.00,-9.00
2019-02-02,9.00,-4.00
2019-02-03,28.00,6.00
2019-02-04,38.00,26.00
2019-02-05,43.00,25.00
2019-02-06,33.00,9.00
2019-02-07,41.00,23.00
2019-02-09,15.00,-1.00
2019-02-10,12.00,-1.00
2019-02-11,11.00,2.00
2019-02-12,11.00,1.00
2019-02-13,23.00,6.00
2019-02-14,19.00,8.00
2019-02-15,32.00,13.00
2019-02-16,32.00,11.00
2019-02-17,24.00,0.00
2019-02-18,23.00,2.00
2019-02-19,5.00,-8.00
2019-02-20,14.00,-1.00
2019-02-21,26.00,10.00
2019-02-22,24.00,12.00
2019-02-23,33.00,11.00
2019-02-24,,
2019-02-25,28.00,8.00
2019-02-26,10.00,10.00
2019-02-28,17.00,0.00
2019-03-01,24.00,2.00
2019-03-02,32.00,12.00
2019-03-03,28.00,13.00
2019-03-04,20.00,10.00
2019-03-05,14.00,-3.00
2019-03-06,12.00,-5.00
2019-03-08,19.00,-1.00
2019-03-09,21.00,9.00
2019-03-10,25.00,11.00
2019-03-11,28.00,19.00
2019-03-12,22.00,12.00
2019-03-13,30.00,11.00
2019-03-14,48.00,22.00
2019-03-15,48.00,33.00
2019-03-16,40.00,16.00
2019-03-17,17.00,4.00
2019-03-18,18.00,5.00
2019-03-20,35.00,16.00
2019-03-21,36.00,27.00
2019-03-22,34.00,24.00
2019-03-23,24.00,10.00
2019-03-24,30.00,13.00
2019-03-25,30.00,6.00
2019-03-26,,
2019-03-27,36.00,13.00
2019-03-28,40.00,26.00
2019-03-29,37.00,32.00
2019-03-30,44.00,25.00
2019-03-31,48.00,27.00
2019-04-01,27.00,9.00
2019-04-02,33.00,14.00
2019-04-03,39.00,23.00
2019-04-04,28.00,14.00
2019-04-05,36.00,13.00
2019-04-06,33.00,24.00
2019-04-07,39.00,31.00
2019-04-08,41.00,26.00
2019-04-09,41.00,28.00
2019-04-10,35.00,18.00
2019-04-11,34.00,16.00
2019-04-12,46.00,23.00
2019-04-13,54.00,43.00
2019-04-15,50.00,31.00
2019-04-16,31.00,22.00
2019-04-17,34.00,25.00
2019-04-18,40.00,31.00
2019-04-20,56.00,50.00
2019-04-21,62.00,44.00
2019-04-22,58.00,45.00
2019-04-23,61.00,43.00
2019-04-24,60.00,32.00
2019-04-25,34.00,31.00
2019-04-26,44.00,34.00
